Date,BANKEX,AUTO,CAPITALGOOD,FMCG,IT,METAL,REALTY,MID CAP,SMALL CAP,SENSEX
04-01-2010,10108.2,7575.76,14219.01,2822.52,5222.07,17715.3,3870.74,6817.35,8491.73,17558.73
05-01-2010,10194.82,7556.92,14277.5,2847.08,5244.1,18391.45,3914.81,6898.95,8564.28,17686.24
06-01-2010,10239.12,7531.01,14228.95,2862.31,5170.41,18210.77,3970.98,6945.94,8601.91,17701.13
07-01-2010,10195.65,7401.54,14201.17,2848.31,5055.67,18222.87,3946.04,6944.62,8659.76,17615.72
08-01-2010,10151.51,7396.26,14285.55,2849.39,4955.74,18090.71,4073.61,6946,8697.64,17540.29
11-01-2010,10166.93,7464.05,14331.81,2852.3,4999.22,18208.6,4178.12,7008.42,8854.39,17526.71
12-01-2010,9967.18,7473.46,14241.79,2810.77,5194.57,17789.47,4048.47,6928.31,8753.68,17422.51
13-01-2010,9907.15,7424.29,14226.94,2800.88,5393.92,17920.83,4062.59,6969.84,8829.05,17509.8
14-01-2010,9900.51,7445.07,14335.08,2786.82,5404.06,18040.37,4052.1,7029.65,8934.87,17584.87
15-01-2010,9921.23,7442.79,14249.32,2797.89,5402,17951.8,4081.68,7050.41,8970.46,17554.3
18-01-2010,10160.75,7569.43,14267.22,2794.86,5434.04,17894.15,4078.16,7090.75,9026.78,17641.08
19-01-2010,10205.37,7516.53,14210.86,2783.18,5342.79,17854.44,4006.91,7045.91,8976.09,17486.06
20-01-2010,10205.67,7549.06,14234.68,2775.03,5350.41,17937.12,3930.25,7026.92,8982.81,17474.49
21-01-2010,9965.73,7441.79,13501.46,2735.41,5274.34,17496.81,3820.93,6858.73,8760.99,17051.14
22-01-2010,9810.38,7401.97,13322.21,2772.07,5189.62,17305.48,3756.16,6783.66,8661.17,16859.68
25-01-2010,9702.73,7243.92,13378.57,2803.73,5121.76,17042.31,3648.15,6695.32,8583.01,16780.46
27-01-2010,9296.34,6897.71,13001.16,2783.74,4991.76,16050.57,3357.25,6429.16,8148.82,16289.82
28-01-2010,9373.76,6927.27,12961.17,2776.97,5015.86,16215.58,3411.56,6444.51,8134.89,16306.87
29-01-2010,9654.09,6953.2,13125.06,2725.38,4977.71,15962.05,3500.22,6509.8,8232.68,16357.96
01-02-2010,9652.77,7070.85,13170.84,2707.48,4976.49,16217.4,3525.73,6627.32,8456.74,16356.03
02-02-2010,9461.11,6968.34,12978.53,2694.93,4938.37,15962.04,3439.47,6548.42,8391.91,16163.44
03-02-2010,9656.64,7091.48,13253.71,2748.98,5023.33,16602.13,3536.22,6646.59,8481.01,16496.05
04-02-2010,9506.11,6941.36,13102.23,2741.75,4917.98,16044.79,3398.59,6517.14,8344.74,16224.95
05-02-2010,9217.46,6800.53,12796.12,2698.72,4796.18,15361.85,3250.42,6347.37,8073.92,15790.93
06-02-2010,9274.5,6864.29,12910.54,2710.05,4845.86,15608.38,3320.05,6435.93,8197.93,15915.65
08-02-2010,9320.06,6849.76,12982.84,2714.67,4850.63,15392.8,3330.18,6430.36,8191.2,15935.61
09-02-2010,9375.97,6869.75,13075.23,2719.02,4972.64,15461.93,3289.84,6458.91,8227.34,16042.18
10-02-2010,9284.29,6817.25,12917.28,2704.08,4961.44,15391.12,3318.64,6459.41,8235.8,15922.17
11-02-2010,9405.92,6963.15,12997.39,2735.59,5019.6,15636.4,3384.4,6509.74,8303.08,16152.59
15-02-2010,9335.89,6939.89,12984.97,2731.07,5032.44,15672.54,3368.41,6473.07,8272.69,16038.35
16-02-2010,9440,7035.11,13116.97,2754.05,5100.98,15920,3406.43,6513.83,8317.62,16226.68
17-02-2010,9605.45,7119.36,13279.09,2770.78,5089.73,16435.14,3372.49,6565.17,8368.7,16428.91
18-02-2010,9636.41,7068.34,13219.57,2758.01,5099.46,16209.81,3300.96,6524.22,8335.11,16327.84
19-02-2010,9560.25,6998.24,13143.87,2753.33,5081.67,15806.15,3189.77,6432.36,8204.57,16191.63
22-02-2010,9565.75,7006.9,13150.93,2751.45,5132.75,15913.98,3133.27,6394.33,8118.52,16237.05
23-02-2010,9600.83,6879.71,13164.7,2748.73,5159.25,16029.22,3163.33,6356.53,8043.9,16286.32
24-02-2010,9583.75,6850,13165.67,2746.09,5160.63,16015.03,3192.81,6330.23,7994.98,16255.97
25-02-2010,9611.58,6846.66,13333.25,2723.29,5188.92,15989.77,3196.34,6305.06,7980.95,16254.2
26-02-2010,9828.68,7170.99,13474.86,2662.05,5173.99,16401.52,3236.69,6397.82,8067.4,16429.55
02-03-2010,10053.68,7478.81,13732.73,2718.8,5243.63,17044.56,3246.74,6538.66,8255.56,16772.56
03-03-2010,10196.17,7544.67,13782.22,2759.29,5277.6,17283.7,3316.83,6641.93,8362.32,17000.01
04-03-2010,10175.47,7553.42,13848.45,2775.29,5223.05,17553.58,3399.91,6693.93,8430.32,16971.7
05-03-2010,10198.99,7553.2,13885.26,2783.13,5228.72,17560.26,3460.19,6735.49,8499.64,16994.49
08-03-2010,10310.37,7688.14,14008.51,2804.33,5265.47,17547.42,3439.87,6783.37,8591.87,17102.6
09-03-2010,10294.67,7619.09,13891.14,2801.91,5310.18,17272.96,3402.3,6734.65,8530.72,17052.54
10-03-2010,10277.39,7644.04,13869.64,2824.73,5290.71,17218.13,3422.29,6725.94,8512.57,17098.33
11-03-2010,10348.67,7571.07,13869.76,2802.39,5343.52,17162.62,3416.23,6716.1,8470.34,17167.96
12-03-2010,10341.2,7572.64,13784.03,2794.88,5338.35,17271.54,3387.92,6700.85,8432.5,17166.62
